fecha, vuelos_totales
1998-1, 452001
1998-2, 412832
1998-3, 459703
1998-4, 442644
1998-5, 449293
1998-6, 446427
1998-7, 462429
1998-8, 465910
1998-9, 443901
1998-10, 457954
1998-11, 436528
1998-12, 455099
1999-1, 453814
1999-2, 417627
1999-3, 466267
1999-4, 450620
1999-5, 462054
1999-6, 460467
1999-7, 474047
1999-8, 479549
1999-9, 460251
1999-10, 478294
1999-11, 454950
1999-12, 469944
2000-1, 470477
2000-2, 444499
2000-3, 482944
2000-4, 463263
2000-5, 478909
2000-6, 471100
2000-7, 483342
2000-8, 491366
2000-9, 463097
2000-10, 485761
2000-11, 467251
2000-12, 481038
2001-1, 529940
2001-2, 477824
2001-3, 531119
2001-4, 514187
2001-5, 529940
2001-6, 520230
2001-7, 538440
2001-8, 544351
2001-9, 490698
2001-10, 443796
2001-11, 417386
2001-12, 429869
2002-1, 436336
2002-2, 399535
2002-3, 447896
2002-4, 438141
2002-5, 450046
2002-6, 448333
2002-7, 465573
2002-8, 466764
2002-9, 429996
2002-10, 446590
2002-11, 415024
2002-12, 427125
2003-1, 552109
2003-2, 500206
2003-3, 559342
2003-4, 527303
2003-5, 533782
2003-6, 536496
2003-7, 558568
2003-8, 556984
2003-9, 527714
2003-10, 552370
2003-11, 528171
2003-12, 555495
2004-1, 583987
2004-2, 553876
2004-3, 601412
2004-4, 582970
2004-5, 594457
2004-6, 588792
2004-7, 614166
2004-8, 623107
2004-9, 585125
2004-10, 610037
2004-11, 584610
2004-12, 606731
2005-1, 594924
2005-2, 545332
2005-3, 617540
2005-4, 594492
2005-5, 614802
2005-6, 609195
2005-7, 627961
2005-8, 630904
2005-9, 574253
2005-10, 592712
2005-11, 566138
2005-12, 572343
2006-1, 581287
2006-2, 531247
2006-3, 605217
2006-4, 585351
2006-5, 602919
2006-6, 598315
2006-7, 621244
2006-8, 628732
2006-9, 584937
2006-10, 611718
2006-11, 586197
2006-12, 604758
2007-1, 621559
2007-2, 565604
2007-3, 639209
2007-4, 614648
2007-5, 631609
2007-6, 629280
2007-7, 648560
2007-8, 653279
2007-9, 600187
2007-10, 629992
2007-11, 605149
2007-12, 614139
2008-1, 605765
2008-2, 569236
2008-3, 616090
2008-4, 598126
2008-5, 606293
2008-6, 608665
2008-7, 627931
2008-8, 612279
2008-9, 540908
2008-10, 556205
2008-11, 523272
2008-12, 544958
